ncName,ncID,transID
ALG9-IT1,NONHSAG009602,NONHSAT160728.1
RP11-770J1.3,NONHSAG009768,NONHSAT024484.2
RP11-770J1.3,NONHSAG009768,NONHSAT024485.2
RP11-770J1.3,NONHSAG009768,NONHSAT024486.2
RP11-770J1.3,NONHSAG009768,NONHSAT024488.2
RP11-770J1.3,NONHSAG009768,NONHSAT024490.2
RP11-770J1.3,NONHSAG009768,NONHSAT160811.1
RP11-770J1.3,NONHSAG009768,NONHSAT160812.1
RP11-770J1.3,NONHSAG009768,NONHSAT230842.1
RP11-700F16.3,NONHSAG010100,NONHSAT025244.2
SCARNA10,NONHSAG010307,NONHSAT026096.2
RP5-940J5.9,NONHSAG010313,NONHSAT026107.2
RP5-940J5.6,NONHSAG010319,NONHSAT026116.2
RP5-940J5.6,NONHSAG010319,NONHSAT161781.1
RP5-940J5.6,NONHSAG010319,NONHSAT231032.1
U47924.31,NONHSAG065288,NONHSAT163251.1
A2ML1-AS1,NONHSAG010419,NONHSAT026361.2
A2ML1-AS1,NONHSAG010419,NONHSAT163275.1
RP11-253I19.3,NONHSAG010525,NONHSAT026983.2
RP11-284H19.1,NONHSAG010643,NONHSAT027228.2
RP11-284H19.1,NONHSAG010643,NONHSAT163360.1
RP11-474P2.2,NONHSAG010986,NONHSAT162115.1
RP11-474P2.2,NONHSAG010986,NONHSAT231180.1
RP11-474P2.2,NONHSAG010986,NONHSAT231181.1
RP11-474P2.2,NONHSAG010986,NONHSAT231182.1
RP11-474P2.2,NONHSAG010986,NONHSAT231183.1
RP11-386G11.10,NONHSAG011086,NONHSAT028082.2
RP11-386G11.10,NONHSAG011086,NONHSAT162169.1
RP11-386G11.10,NONHSAG011086,NONHSAT231221.1
RP11-386G11.10,NONHSAG011086,NONHSAT231222.1
RP11-386G11.10,NONHSAG011086,NONHSAT231223.1
RP11-161H23.5,NONHSAG011090,NONHSAT028091.2
RP11-161H23.5,NONHSAG011090,NONHSAT028092.2
RP11-161H23.5,NONHSAG011090,NONHSAT232061.1
RP4-605O3.4,NONHSAG011125,NONHSAT028170.2
RP4-605O3.4,NONHSAG011125,NONHSAT028171.2
RP3-405J10.4,NONHSAG011133,NONHSAT028186.2
RP11-983P16.4,NONHSAG011211,NONHSAT028392.2
RP11-983P16.4,NONHSAG011211,NONHSAT028393.2
RP11-983P16.4,NONHSAG011211,NONHSAT028395.2
RP11-983P16.4,NONHSAG011211,NONHSAT028396.2
RP11-983P16.4,NONHSAG011211,NONHSAT028397.2
RP11-983P16.4,NONHSAG011211,NONHSAT028398.2
RP11-983P16.4,NONHSAG011211,NONHSAT028399.2
RP11-983P16.4,NONHSAG011211,NONHSAT028400.2
RP11-983P16.4,NONHSAG011211,NONHSAT028401.2
