ncName,ncID,transID
Gm13269,NONMMUG022041,NONMMUT108709.1
Gm13270,NONMMUG022014,NONMMUT035798.2
Gm13270,NONMMUG022014,NONMMUT035799.2
Gm13270,NONMMUG022014,NONMMUT106636.1
Gm13274,NONMMUG029798,NONMMUT048027.2
Gm13274,NONMMUG029798,NONMMUT048028.2
Gm13274,NONMMUG029798,NONMMUT048029.2
Gm13274,NONMMUG029798,NONMMUT048030.2
Gm13274,NONMMUG029798,NONMMUT116924.1
Gm13293,NONMMUG021972,NONMMUT035733.2
Gm13293,NONMMUG021972,NONMMUT035734.2
Gm13293,NONMMUG021972,NONMMUT035735.2
Gm13293,NONMMUG021972,NONMMUT106619.1
Gm13307,NONMMUG028984,NONMMUT046890.2
Gm13307,NONMMUG028984,NONMMUT046891.2
Gm13312,NONMMUG022036,NONMMUT035838.2
Gm13324,NONMMUG022085,NONMMUT035899.2
Gm13324,NONMMUG022085,NONMMUT106676.1
Gm13325,NONMMUG022077,NONMMUT035888.2
Gm13327,NONMMUG022185,NONMMUT036049.2
Gm13327,NONMMUG022185,NONMMUT036050.2
Gm13327,NONMMUG022185,NONMMUT108805.1
Gm13330,NONMMUG022095,NONMMUT035912.2
Gm13330,NONMMUG022095,NONMMUT106688.1
Gm13331,NONMMUG022222,NONMMUT036101.2
Gm13335,NONMMUG022164,NONMMUT036018.2
Gm13335,NONMMUG022164,NONMMUT036019.2
Gm13339,NONMMUG022193,NONMMUT036059.2
Gm13340,NONMMUG022192,NONMMUT036058.2
Gm13341,NONMMUG022191,NONMMUT036057.2
Gm13344,NONMMUG022146,NONMMUT035992.2
Gm13348,NONMMUG022151,NONMMUT035998.2
Gm13348,NONMMUG022151,NONMMUT035999.2
Gm13348,NONMMUG022151,NONMMUT036000.2
Gm13348,NONMMUG022151,NONMMUT036001.2
Gm13348,NONMMUG022151,NONMMUT036002.2
Gm13348,NONMMUG022151,NONMMUT108782.1
Gm13348,NONMMUG022151,NONMMUT108783.1
Gm13349,NONMMUG022115,NONMMUT035943.2
Gm13350,NONMMUG022112,NONMMUT035940.2
Gm13351,NONMMUG022107,NONMMUT035935.2
Gm13357,NONMMUG022209,NONMMUT036083.2
Gm13361,NONMMUG022156,NONMMUT036008.2
Gm13362,NONMMUG022172,NONMMUT036030.2
Gm13362,NONMMUG022172,NONMMUT108793.1
Gm13372,NONMMUG022414,NONMMUT036440.2
Gm13372,NONMMUG022414,NONMMUT108880.1
Gm13373,NONMMUG022420,NONMMUT036448.2
Gm13376,NONMMUG022182,NONMMUT036044.2
Gm13376,NONMMUG022182,NONMMUT106710.1
Gm13379,NONMMUG022186,NONMMUT036051.2
Gm13380,NONMMUG022178,NONMMUT036037.2
Gm13380,NONMMUG022178,NONMMUT108802.1
Gm13381,NONMMUG022429,NONMMUT036458.2
Gm13381,NONMMUG022429,NONMMUT036459.2
Gm13381,NONMMUG022429,NONMMUT036463.2
Gm13387,NONMMUG022267,NONMMUT036170.2
