label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
102,0.8,0.895,0.68,0.92,0.773,0.618,0.946,0.942
103,0.74,0.8,0.64,0.84,0.711,0.49,0.867,0.875
104,0.78,0.85,0.68,0.88,0.756,0.572,0.901,0.886
105,0.76,0.842,0.64,0.88,0.727,0.536,0.846,0.844
106,0.84,1.0,0.68,1.0,0.81,0.718,0.923,0.938
107,0.8,0.895,0.68,0.92,0.773,0.618,0.883,0.88
108,0.8,0.941,0.64,0.96,0.762,0.633,0.85,0.885
109,0.78,0.889,0.64,0.92,0.744,0.583,0.923,0.927
110,0.82,0.944,0.68,0.96,0.791,0.667,0.912,0.924
111,0.82,1.0,0.64,1.0,0.78,0.686,0.934,0.945
112,0.78,0.889,0.64,0.92,0.744,0.583,0.869,0.878
113,0.8,0.941,0.64,0.96,0.762,0.633,0.917,0.929
114,0.78,0.889,0.64,0.92,0.744,0.583,0.886,0.894
115,0.8,0.941,0.64,0.96,0.762,0.633,0.915,0.922
116,0.78,0.889,0.64,0.92,0.744,0.583,0.894,0.876
117,0.82,0.944,0.68,0.96,0.791,0.667,0.955,0.96
118,0.76,0.842,0.64,0.88,0.727,0.536,0.838,0.826
119,0.8,0.895,0.68,0.92,0.773,0.618,0.912,0.926
120,0.82,0.944,0.68,0.96,0.791,0.667,0.912,0.902
121,0.78,0.889,0.64,0.92,0.744,0.583,0.886,0.882
122,0.78,0.889,0.64,0.92,0.744,0.583,0.872,0.892
123,0.82,1.0,0.64,1.0,0.78,0.686,0.952,0.957
124,0.78,0.889,0.64,0.92,0.744,0.583,0.848,0.87
125,0.78,0.889,0.64,0.92,0.744,0.583,0.888,0.903
126,0.78,0.889,0.64,0.92,0.744,0.583,0.917,0.919
127,0.8,0.941,0.64,0.96,0.762,0.633,0.907,0.903
128,0.82,0.944,0.68,0.96,0.791,0.667,0.944,0.95
129,0.78,0.889,0.64,0.92,0.744,0.583,0.866,0.894
130,0.8,0.941,0.64,0.96,0.762,0.633,0.85,0.819
131,0.8,0.941,0.64,0.96,0.762,0.633,0.92,0.926
132,0.8,0.895,0.68,0.92,0.773,0.618,0.917,0.93
133,0.8,0.895,0.68,0.92,0.773,0.618,0.909,0.914
134,0.78,0.85,0.68,0.88,0.756,0.572,0.906,0.905
135,0.74,0.773,0.68,0.8,0.723,0.483,0.837,0.826
136,0.74,0.833,0.6,0.88,0.698,0.5,0.883,0.898
137,0.82,0.944,0.68,0.96,0.791,0.667,0.933,0.924
138,0.84,1.0,0.68,1.0,0.81,0.718,0.971,0.977
139,0.72,0.762,0.64,0.8,0.696,0.446,0.856,0.82
140,0.8,0.895,0.68,0.92,0.773,0.618,0.899,0.895
141,0.76,0.842,0.64,0.88,0.727,0.536,0.79,0.797
142,0.82,1.0,0.64,1.0,0.78,0.686,0.944,0.96
143,0.8,0.895,0.68,0.92,0.773,0.618,0.896,0.897
144,0.82,1.0,0.64,1.0,0.78,0.686,0.883,0.907
145,0.74,0.8,0.64,0.84,0.711,0.49,0.858,0.871
146,0.78,0.889,0.64,0.92,0.744,0.583,0.822,0.864
147,0.8,0.941,0.64,0.96,0.762,0.633,0.917,0.908
148,0.82,0.944,0.68,0.96,0.791,0.667,0.942,0.946
149,0.78,0.889,0.64,0.92,0.744,0.583,0.894,0.884
150,0.8,0.895,0.68,0.92,0.773,0.618,0.891,0.884
151,0.82,1.0,0.64,1.0,0.78,0.686,0.907,0.922
152,0.8,0.941,0.64,0.96,0.762,0.633,0.89,0.907
153,0.8,0.941,0.64,0.96,0.762,0.633,0.93,0.929
154,0.82,0.944,0.68,0.96,0.791,0.667,0.938,0.949
155,0.82,0.944,0.68,0.96,0.791,0.667,0.928,0.939
156,0.8,0.941,0.64,0.96,0.762,0.633,0.934,0.94
157,0.8,0.895,0.68,0.92,0.773,0.618,0.923,0.927
158,0.78,0.889,0.64,0.92,0.744,0.583,0.902,0.916
159,0.76,0.842,0.64,0.88,0.727,0.536,0.853,0.857
160,0.8,0.941,0.64,0.96,0.762,0.633,0.89,0.902
161,0.78,0.889,0.64,0.92,0.744,0.583,0.87,0.876
162,0.78,0.889,0.64,0.92,0.744,0.583,0.902,0.914
163,0.78,0.889,0.64,0.92,0.744,0.583,0.882,0.895
164,0.76,0.882,0.6,0.92,0.714,0.549,0.912,0.92
165,0.76,0.842,0.64,0.88,0.727,0.536,0.867,0.882
166,0.8,0.895,0.68,0.92,0.773,0.618,0.901,0.889
167,0.76,0.842,0.64,0.88,0.727,0.536,0.864,0.872
168,0.74,0.8,0.64,0.84,0.711,0.49,0.87,0.889
169,0.8,0.895,0.68,0.92,0.773,0.618,0.901,0.885
170,0.82,0.944,0.68,0.96,0.791,0.667,0.902,0.91
171,0.78,0.85,0.68,0.88,0.756,0.572,0.85,0.869
172,0.76,0.842,0.64,0.88,0.727,0.536,0.821,0.834
173,0.78,0.85,0.68,0.88,0.756,0.572,0.837,0.841
174,0.84,1.0,0.68,1.0,0.81,0.718,0.955,0.964
175,0.82,1.0,0.64,1.0,0.78,0.686,0.862,0.894
176,0.78,0.889,0.64,0.92,0.744,0.583,0.846,0.857
177,0.82,0.944,0.68,0.96,0.791,0.667,0.928,0.934
178,0.76,0.81,0.68,0.84,0.739,0.527,0.87,0.831
179,0.82,1.0,0.64,1.0,0.78,0.686,0.939,0.952
180,0.8,0.895,0.68,0.92,0.773,0.618,0.893,0.851
181,0.82,1.0,0.64,1.0,0.78,0.686,0.934,0.947
182,0.78,0.85,0.68,0.88,0.756,0.572,0.894,0.901
183,0.84,1.0,0.68,1.0,0.81,0.718,0.922,0.937
184,0.78,0.889,0.64,0.92,0.744,0.583,0.826,0.867
185,0.82,1.0,0.64,1.0,0.78,0.686,0.933,0.945
186,0.78,0.889,0.64,0.92,0.744,0.583,0.827,0.819
187,0.82,1.0,0.64,1.0,0.78,0.686,0.946,0.954
188,0.8,0.895,0.68,0.92,0.773,0.618,0.883,0.871
189,0.84,1.0,0.68,1.0,0.81,0.718,0.947,0.956
190,0.78,0.85,0.68,0.88,0.756,0.572,0.886,0.866
191,0.84,1.0,0.68,1.0,0.81,0.718,0.949,0.966
192,0.76,0.842,0.64,0.88,0.727,0.536,0.862,0.844
193,0.78,0.889,0.64,0.92,0.744,0.583,0.898,0.912
194,0.84,1.0,0.68,1.0,0.81,0.718,0.949,0.962
195,0.74,0.8,0.64,0.84,0.711,0.49,0.851,0.819
196,0.8,0.895,0.68,0.92,0.773,0.618,0.92,0.886
197,0.78,0.889,0.64,0.92,0.744,0.583,0.84,0.847
198,0.8,0.941,0.64,0.96,0.762,0.633,0.882,0.895
199,0.8,0.941,0.64,0.96,0.762,0.633,0.893,0.911
200,0.78,0.889,0.64,0.92,0.744,0.583,0.896,0.896
201,0.8,0.895,0.68,0.92,0.773,0.618,0.904,0.911
202,0.82,1.0,0.64,1.0,0.78,0.686,0.928,0.944
203,0.76,0.842,0.64,0.88,0.727,0.536,0.803,0.843
204,0.72,0.762,0.64,0.8,0.696,0.446,0.806,0.795
205,0.82,0.944,0.68,0.96,0.791,0.667,0.938,0.926
206,0.76,0.81,0.68,0.84,0.739,0.527,0.891,0.883
207,0.84,1.0,0.68,1.0,0.81,0.718,0.944,0.96
208,0.78,0.85,0.68,0.88,0.756,0.572,0.918,0.917
