label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label70,0.536,0.543,0.455,0.617,0.495,0.072,0.507,0.505
label71,0.438,0.454,0.604,0.273,0.518,-0.131,0.452,0.482
label72,0.425,0.393,0.273,0.578,0.322,-0.157,0.434,0.459
label73,0.396,0.399,0.409,0.383,0.404,-0.208,0.39,0.431
label74,0.487,0.49,0.643,0.331,0.556,-0.027,0.464,0.451
label75,0.484,0.485,0.513,0.455,0.498,-0.033,0.509,0.523
label76,0.519,0.52,0.5,0.539,0.51,0.039,0.502,0.491
label77,0.468,0.457,0.344,0.591,0.393,-0.067,0.495,0.513
label78,0.445,0.443,0.429,0.461,0.436,-0.11,0.418,0.443
label79,0.461,0.469,0.597,0.325,0.526,-0.081,0.463,0.476
label80,0.494,0.494,0.578,0.409,0.533,-0.013,0.48,0.474
label81,0.523,0.524,0.494,0.552,0.508,0.046,0.514,0.525
label82,0.422,0.364,0.208,0.636,0.264,-0.172,0.387,0.433
label83,0.536,0.537,0.513,0.558,0.525,0.072,0.531,0.525
label84,0.448,0.443,0.403,0.494,0.422,-0.104,0.429,0.456
label85,0.471,0.468,0.429,0.513,0.447,-0.059,0.462,0.477
label86,0.487,0.487,0.494,0.481,0.49,-0.026,0.474,0.47
label87,0.474,0.477,0.532,0.416,0.503,-0.052,0.436,0.447
label88,0.542,0.548,0.481,0.604,0.512,0.085,0.544,0.554
label89,0.416,0.414,0.409,0.422,0.412,-0.169,0.38,0.42
label90,0.471,0.466,0.396,0.545,0.428,-0.059,0.485,0.486
label91,0.549,0.55,0.532,0.565,0.541,0.097,0.606,0.571
label92,0.51,0.508,0.591,0.429,0.547,0.02,0.483,0.477
label93,0.526,0.522,0.61,0.442,0.563,0.053,0.546,0.535
label94,0.565,0.554,0.669,0.461,0.606,0.133,0.554,0.53
label95,0.471,0.462,0.351,0.591,0.399,-0.06,0.443,0.468
label96,0.49,0.488,0.403,0.578,0.441,-0.02,0.495,0.491
label97,0.487,0.488,0.539,0.435,0.512,-0.026,0.467,0.48
label98,0.471,0.478,0.636,0.305,0.546,-0.062,0.456,0.449
label99,0.503,0.503,0.513,0.494,0.508,0.006,0.502,0.499
label100,0.545,0.54,0.617,0.474,0.576,0.092,0.509,0.486
label101,0.49,0.49,0.468,0.513,0.478,-0.02,0.462,0.464
label102,0.503,0.504,0.429,0.578,0.463,0.007,0.5,0.503
label103,0.474,0.47,0.409,0.539,0.438,-0.052,0.477,0.496
label104,0.497,0.497,0.526,0.468,0.511,-0.007,0.489,0.47
label105,0.487,0.484,0.383,0.591,0.428,-0.027,0.464,0.482
label106,0.545,0.547,0.526,0.565,0.536,0.091,0.543,0.546
label107,0.435,0.422,0.351,0.519,0.383,-0.132,0.417,0.47
label108,0.49,0.491,0.558,0.422,0.523,-0.02,0.485,0.492
label109,0.464,0.456,0.37,0.558,0.409,-0.073,0.463,0.507
label110,0.458,0.454,0.416,0.5,0.434,-0.085,0.447,0.451
label111,0.438,0.4,0.247,0.63,0.305,-0.134,0.406,0.441
label112,0.61,0.597,0.682,0.539,0.636,0.223,0.619,0.562
label113,0.474,0.472,0.435,0.513,0.453,-0.052,0.448,0.465
label114,0.49,0.493,0.669,0.312,0.567,-0.021,0.469,0.465
label115,0.471,0.473,0.513,0.429,0.492,-0.059,0.482,0.493
label116,0.526,0.529,0.481,0.571,0.503,0.052,0.524,0.509
label117,0.477,0.484,0.701,0.253,0.573,-0.051,0.458,0.456
label118,0.529,0.533,0.474,0.584,0.502,0.059,0.532,0.551
label119,0.503,0.503,0.506,0.5,0.505,0.006,0.518,0.512
label120,0.526,0.526,0.519,0.532,0.523,0.052,0.534,0.54
label121,0.468,0.458,0.357,0.578,0.401,-0.067,0.446,0.491
label122,0.461,0.458,0.429,0.494,0.443,-0.078,0.459,0.487
label123,0.477,0.473,0.396,0.558,0.431,-0.046,0.476,0.494
label124,0.471,0.48,0.695,0.247,0.568,-0.065,0.414,0.425
label125,0.519,0.512,0.805,0.234,0.626,0.047,0.498,0.475
label126,0.461,0.452,0.37,0.552,0.407,-0.079,0.461,0.471
label127,0.448,0.457,0.552,0.344,0.5,-0.106,0.499,0.505
label128,0.503,0.503,0.552,0.455,0.526,0.007,0.503,0.505
label129,0.445,0.445,0.448,0.442,0.447,-0.11,0.438,0.484
label130,0.487,0.489,0.578,0.396,0.53,-0.026,0.491,0.507
label131,0.416,0.413,0.403,0.429,0.408,-0.169,0.385,0.419
label132,0.448,0.459,0.584,0.312,0.514,-0.108,0.446,0.46
label133,0.487,0.488,0.513,0.461,0.5,-0.026,0.495,0.517
label134,0.442,0.432,0.37,0.513,0.399,-0.118,0.417,0.46
label135,0.494,0.493,0.461,0.526,0.477,-0.013,0.501,0.51
label136,0.425,0.427,0.435,0.416,0.431,-0.149,0.443,0.447
label137,0.461,0.466,0.532,0.39,0.497,-0.079,0.449,0.458
label138,0.519,0.521,0.481,0.558,0.5,0.039,0.517,0.515
label139,0.5,0.5,0.396,0.604,0.442,0,0.503,0.494
label140,0.49,0.487,0.377,0.604,0.425,-0.02,0.462,0.497
label141,0.451,0.457,0.519,0.383,0.486,-0.098,0.421,0.438
label142,0.506,0.506,0.526,0.487,0.516,0.013,0.532,0.526
label143,0.513,0.51,0.662,0.364,0.576,0.027,0.502,0.493
label144,0.461,0.455,0.396,0.526,0.424,-0.079,0.451,0.49
label145,0.519,0.515,0.669,0.37,0.582,0.041,0.527,0.511
label146,0.471,0.459,0.325,0.617,0.38,-0.061,0.478,0.507
label147,0.367,0.382,0.429,0.305,0.404,-0.268,0.336,0.404
label148,0.526,0.521,0.643,0.409,0.576,0.053,0.569,0.562
label149,0.481,0.478,0.429,0.532,0.452,-0.039,0.441,0.452
label150,0.536,0.529,0.649,0.422,0.583,0.073,0.569,0.577
label151,0.474,0.471,0.429,0.519,0.449,-0.052,0.463,0.466
label152,0.471,0.463,0.364,0.578,0.407,-0.06,0.453,0.475
label153,0.49,0.491,0.545,0.435,0.517,-0.02,0.481,0.482
label154,0.526,0.52,0.675,0.377,0.588,0.054,0.501,0.503
label155,0.49,0.49,0.455,0.526,0.471,-0.02,0.48,0.477
label156,0.442,0.439,0.422,0.461,0.43,-0.117,0.461,0.503
label157,0.445,0.455,0.565,0.325,0.504,-0.114,0.425,0.448
label158,0.451,0.464,0.623,0.279,0.532,-0.104,0.417,0.44
label159,0.451,0.458,0.526,0.377,0.489,-0.099,0.449,0.47
label160,0.571,0.608,0.403,0.74,0.484,0.152,0.603,0.588
label161,0.477,0.479,0.513,0.442,0.495,-0.046,0.459,0.461
label162,0.506,0.509,0.377,0.636,0.433,0.013,0.467,0.5
label163,0.539,0.542,0.5,0.578,0.52,0.078,0.487,0.52
label164,0.448,0.448,0.448,0.448,0.448,-0.104,0.408,0.433
label165,0.471,0.467,0.409,0.532,0.436,-0.059,0.475,0.499
label166,0.409,0.36,0.234,0.584,0.283,-0.194,0.384,0.464
label167,0.49,0.489,0.416,0.565,0.449,-0.02,0.476,0.493
label168,0.5,0.5,0.487,0.513,0.493,0,0.52,0.524
label169,0.487,0.487,0.474,0.5,0.48,-0.026,0.51,0.519
label170,0.464,0.471,0.584,0.344,0.522,-0.074,0.443,0.464
label171,0.484,0.484,0.494,0.474,0.489,-0.032,0.504,0.501
label172,0.484,0.482,0.435,0.532,0.457,-0.033,0.482,0.48
label173,0.468,0.472,0.545,0.39,0.506,-0.066,0.416,0.423
label174,0.604,0.573,0.812,0.396,0.672,0.228,0.597,0.557
label175,0.539,0.54,0.526,0.552,0.533,0.078,0.532,0.521
label176,0.432,0.453,0.656,0.208,0.536,-0.153,0.41,0.434
label177,0.549,0.547,0.571,0.526,0.559,0.098,0.544,0.543
label178,0.5,0.5,0.442,0.558,0.469,0,0.481,0.483
label179,0.481,0.479,0.435,0.526,0.456,-0.039,0.487,0.472
label180,0.513,0.519,0.364,0.662,0.427,0.027,0.526,0.534
label181,0.5,0.5,0.253,0.747,0.336,0,0.467,0.514
