label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label865,0.513,0.513,0.513,0.513,0.513,0.026,0.524,0.575
label866,0.513,0.513,0.5,0.526,0.507,0.026,0.531,0.603
label867,0.484,0.484,0.481,0.487,0.482,-0.032,0.502,0.576
label868,0.542,0.542,0.545,0.539,0.544,0.084,0.548,0.54
label869,0.458,0.457,0.448,0.468,0.452,-0.084,0.455,0.497
label870,0.481,0.481,0.506,0.455,0.494,-0.039,0.482,0.547
label871,0.484,0.485,0.513,0.455,0.498,-0.033,0.465,0.53
label872,0.481,0.48,0.468,0.494,0.474,-0.039,0.459,0.526
label873,0.49,0.491,0.506,0.474,0.498,-0.019,0.472,0.535
label874,0.506,0.506,0.519,0.494,0.513,0.013,0.517,0.58
label875,0.516,0.516,0.532,0.5,0.524,0.032,0.541,0.601
label876,0.432,0.432,0.435,0.429,0.434,-0.136,0.398,0.468
label877,0.503,0.503,0.519,0.487,0.511,0.006,0.476,0.538
label878,0.51,0.51,0.5,0.519,0.505,0.019,0.514,0.6
label879,0.49,0.49,0.487,0.494,0.489,-0.019,0.482,0.552
label880,0.526,0.527,0.5,0.552,0.513,0.052,0.51,0.558
label881,0.51,0.51,0.5,0.519,0.505,0.019,0.522,0.571
label882,0.399,0.395,0.377,0.422,0.385,-0.202,0.38,0.466
label883,0.5,0.5,0.539,0.461,0.519,0,0.492,0.586
label884,0.516,0.518,0.474,0.558,0.495,0.033,0.512,0.543
label885,0.458,0.456,0.435,0.481,0.445,-0.085,0.438,0.52
label886,0.503,0.503,0.5,0.506,0.502,0.006,0.487,0.514
label887,0.477,0.477,0.461,0.494,0.469,-0.045,0.466,0.486
label888,0.503,0.503,0.506,0.5,0.505,0.006,0.501,0.563
label889,0.487,0.487,0.481,0.494,0.484,-0.026,0.513,0.565
label890,0.523,0.523,0.506,0.539,0.515,0.045,0.546,0.6
label891,0.481,0.481,0.494,0.468,0.487,-0.039,0.492,0.554
label892,0.464,0.462,0.435,0.494,0.448,-0.072,0.455,0.524
label893,0.487,0.486,0.468,0.506,0.477,-0.026,0.508,0.563
label894,0.445,0.439,0.396,0.494,0.416,-0.111,0.443,0.487
label895,0.481,0.481,0.481,0.481,0.481,-0.039,0.5,0.559
label896,0.575,0.568,0.623,0.526,0.594,0.15,0.559,0.551
label897,0.49,0.49,0.474,0.506,0.482,-0.019,0.468,0.556
label898,0.526,0.526,0.532,0.519,0.529,0.052,0.514,0.583
label899,0.451,0.453,0.468,0.435,0.46,-0.097,0.47,0.568
label900,0.484,0.485,0.539,0.429,0.511,-0.033,0.47,0.505
label901,0.451,0.448,0.416,0.487,0.431,-0.098,0.441,0.502
label902,0.503,0.503,0.519,0.487,0.511,0.006,0.48,0.536
label903,0.545,0.545,0.545,0.545,0.545,0.091,0.545,0.582
label904,0.513,0.514,0.481,0.545,0.497,0.026,0.484,0.523
label905,0.552,0.553,0.539,0.565,0.546,0.104,0.556,0.587
label906,0.51,0.509,0.545,0.474,0.527,0.02,0.491,0.558
label907,0.506,0.506,0.519,0.494,0.513,0.013,0.49,0.528
label908,0.516,0.516,0.532,0.5,0.524,0.032,0.517,0.573
label909,0.419,0.42,0.429,0.409,0.424,-0.162,0.385,0.45
label910,0.536,0.535,0.539,0.532,0.537,0.071,0.538,0.599
label911,0.513,0.512,0.532,0.494,0.522,0.026,0.57,0.626
label912,0.513,0.514,0.487,0.539,0.5,0.026,0.515,0.583
label913,0.448,0.448,0.448,0.448,0.448,-0.104,0.439,0.535
label914,0.497,0.497,0.481,0.513,0.488,-0.006,0.475,0.527
label915,0.477,0.478,0.487,0.468,0.482,-0.045,0.493,0.563
label916,0.51,0.51,0.494,0.526,0.502,0.019,0.503,0.572
label917,0.519,0.518,0.552,0.487,0.535,0.039,0.491,0.529
label918,0.519,0.519,0.539,0.5,0.529,0.039,0.503,0.519
label919,0.464,0.465,0.481,0.448,0.473,-0.071,0.463,0.503
label920,0.532,0.534,0.506,0.558,0.52,0.065,0.538,0.605
label921,0.503,0.503,0.5,0.506,0.502,0.006,0.515,0.535
label922,0.506,0.506,0.539,0.474,0.522,0.013,0.485,0.579
label923,0.552,0.555,0.526,0.578,0.54,0.104,0.561,0.628
label924,0.523,0.521,0.552,0.494,0.536,0.046,0.535,0.607
label925,0.532,0.535,0.5,0.565,0.517,0.065,0.537,0.613
label926,0.552,0.551,0.558,0.545,0.555,0.104,0.556,0.622
label927,0.484,0.484,0.494,0.474,0.489,-0.032,0.482,0.552
label928,0.477,0.474,0.409,0.545,0.439,-0.046,0.502,0.549
label929,0.494,0.493,0.468,0.519,0.48,-0.013,0.511,0.597
label930,0.539,0.539,0.539,0.539,0.539,0.078,0.544,0.583
label931,0.455,0.455,0.455,0.455,0.455,-0.091,0.415,0.477
label932,0.497,0.497,0.513,0.481,0.505,-0.006,0.506,0.548
label933,0.49,0.49,0.487,0.494,0.489,-0.019,0.524,0.568
