label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label501,0.58,0.583,0.56,0.6,0.571,0.16,0.563,0.5
label502,0.46,0.458,0.44,0.48,0.449,-0.08,0.37,0.406
label503,0.28,0.261,0.24,0.32,0.25,-0.441,0.216,0.348
label504,0.28,0.261,0.24,0.32,0.25,-0.441,0.267,0.503
label505,0.48,0.48,0.48,0.48,0.48,-0.04,0.458,0.437
label506,0.54,0.542,0.52,0.56,0.531,0.08,0.493,0.479
label507,0.58,0.577,0.6,0.56,0.588,0.16,0.634,0.705
label508,0.4,0.391,0.36,0.44,0.375,-0.201,0.352,0.429
label509,0.54,0.538,0.56,0.52,0.549,0.08,0.485,0.453
label510,0.36,0.333,0.28,0.44,0.304,-0.284,0.35,0.392
label511,0.6,0.609,0.56,0.64,0.583,0.201,0.646,0.664
label512,0.64,0.63,0.68,0.6,0.654,0.281,0.624,0.544
label513,0.4,0.381,0.32,0.48,0.348,-0.203,0.386,0.412
label514,0.36,0.348,0.32,0.4,0.333,-0.281,0.317,0.384
label515,0.4,0.414,0.48,0.32,0.444,-0.203,0.363,0.398
label516,0.46,0.455,0.4,0.52,0.426,-0.081,0.371,0.411
label517,0.4,0.407,0.44,0.36,0.423,-0.201,0.461,0.507
label518,0.5,0.5,0.56,0.44,0.528,0,0.482,0.495
label519,0.44,0.421,0.32,0.56,0.364,-0.124,0.371,0.41
label520,0.38,0.385,0.4,0.36,0.392,-0.24,0.421,0.466
label521,0.46,0.462,0.48,0.44,0.471,-0.08,0.454,0.549
label522,0.48,0.481,0.52,0.44,0.5,-0.04,0.472,0.464
label523,0.36,0.36,0.36,0.36,0.36,-0.28,0.318,0.409
label524,0.38,0.385,0.4,0.36,0.392,-0.24,0.419,0.43
label525,0.48,0.474,0.36,0.6,0.409,-0.041,0.448,0.564
label526,0.3,0.222,0.16,0.44,0.186,-0.417,0.23,0.351
label527,0.6,0.6,0.6,0.6,0.6,0.2,0.571,0.5
label528,0.6,0.609,0.56,0.64,0.583,0.201,0.592,0.534
label529,0.54,0.542,0.52,0.56,0.531,0.08,0.517,0.533
label530,0.46,0.462,0.48,0.44,0.471,-0.08,0.442,0.49
label531,0.3,0.308,0.32,0.28,0.314,-0.4,0.27,0.363
label532,0.44,0.44,0.44,0.44,0.44,-0.12,0.432,0.472
label533,0.52,0.52,0.52,0.52,0.52,0.04,0.526,0.522
label534,0.6,0.6,0.6,0.6,0.6,0.2,0.616,0.63
label535,0.48,0.481,0.52,0.44,0.5,-0.04,0.496,0.562
label536,0.46,0.458,0.44,0.48,0.449,-0.08,0.454,0.543
label537,0.38,0.364,0.32,0.44,0.34,-0.242,0.31,0.376
label538,0.46,0.455,0.4,0.52,0.426,-0.081,0.414,0.427
label539,0.36,0.379,0.44,0.28,0.407,-0.284,0.333,0.456
label540,0.42,0.429,0.48,0.36,0.453,-0.161,0.419,0.483
label541,0.36,0.316,0.24,0.48,0.273,-0.288,0.334,0.386
label542,0.48,0.481,0.52,0.44,0.5,-0.04,0.434,0.457
label543,0.5,0.5,0.44,0.56,0.468,0,0.51,0.523
label544,0.44,0.44,0.44,0.44,0.44,-0.12,0.461,0.471
label545,0.58,0.577,0.6,0.56,0.588,0.16,0.621,0.539
label546,0.36,0.36,0.36,0.36,0.36,-0.28,0.307,0.395
label547,0.54,0.545,0.48,0.6,0.511,0.081,0.507,0.553
label548,0.5,0.5,0.44,0.56,0.468,0,0.549,0.615
label549,0.56,0.552,0.64,0.48,0.593,0.122,0.496,0.474
label550,0.6,0.609,0.56,0.64,0.583,0.201,0.594,0.564
label551,0.46,0.455,0.4,0.52,0.426,-0.081,0.398,0.431
label552,0.52,0.52,0.52,0.52,0.52,0.04,0.47,0.455
label553,0.6,0.619,0.52,0.68,0.565,0.203,0.64,0.578
label554,0.52,0.517,0.6,0.44,0.556,0.041,0.52,0.508
label555,0.28,0.296,0.32,0.24,0.308,-0.441,0.224,0.354
label556,0.58,0.577,0.6,0.56,0.588,0.16,0.582,0.6
label557,0.54,0.538,0.56,0.52,0.549,0.08,0.541,0.499
label558,0.32,0.263,0.2,0.44,0.227,-0.371,0.298,0.374
label559,0.58,0.571,0.64,0.52,0.604,0.161,0.53,0.477
label560,0.46,0.464,0.52,0.4,0.491,-0.081,0.432,0.43
label561,0.42,0.429,0.48,0.36,0.453,-0.161,0.467,0.493
label562,0.7,0.778,0.56,0.84,0.651,0.417,0.693,0.641
label563,0.6,0.619,0.52,0.68,0.565,0.203,0.654,0.67
label564,0.54,0.545,0.48,0.6,0.511,0.081,0.488,0.519
label565,0.4,0.4,0.4,0.4,0.4,-0.2,0.336,0.386
label566,0.66,0.654,0.68,0.64,0.667,0.32,0.742,0.678
label567,0.54,0.538,0.56,0.52,0.549,0.08,0.456,0.44
label568,0.62,0.625,0.6,0.64,0.612,0.24,0.55,0.528
label569,0.6,0.632,0.48,0.72,0.545,0.206,0.586,0.695
label570,0.36,0.348,0.32,0.4,0.333,-0.281,0.282,0.372
label571,0.48,0.476,0.4,0.56,0.435,-0.041,0.47,0.55
label572,0.44,0.444,0.48,0.4,0.462,-0.12,0.36,0.414
label573,0.42,0.417,0.4,0.44,0.408,-0.16,0.429,0.44
label574,0.48,0.476,0.4,0.56,0.435,-0.041,0.486,0.458
label575,0.58,0.571,0.64,0.52,0.604,0.161,0.53,0.504
label576,0.52,0.517,0.6,0.44,0.556,0.041,0.509,0.491
label577,0.6,0.6,0.6,0.6,0.6,0.2,0.645,0.575
label578,0.48,0.48,0.48,0.48,0.48,-0.04,0.378,0.402
label579,0.36,0.379,0.44,0.28,0.407,-0.284,0.315,0.377
label580,0.48,0.481,0.52,0.44,0.5,-0.04,0.52,0.512
label581,0.54,0.55,0.44,0.64,0.489,0.082,0.52,0.518
label582,0.52,0.519,0.56,0.48,0.538,0.04,0.514,0.508
label583,0.4,0.381,0.32,0.48,0.348,-0.203,0.376,0.407
label584,0.3,0.308,0.32,0.28,0.314,-0.4,0.213,0.347
label585,0.44,0.435,0.4,0.48,0.417,-0.12,0.427,0.445
label586,0.34,0.318,0.28,0.4,0.298,-0.322,0.261,0.362
label587,0.48,0.48,0.48,0.48,0.48,-0.04,0.443,0.465
label588,0.36,0.36,0.36,0.36,0.36,-0.28,0.358,0.477
label589,0.58,0.571,0.64,0.52,0.604,0.161,0.691,0.708
label590,0.58,0.571,0.64,0.52,0.604,0.161,0.614,0.646
label591,0.4,0.391,0.36,0.44,0.375,-0.201,0.382,0.403
label592,0.48,0.478,0.44,0.52,0.458,-0.04,0.469,0.575
label593,0.46,0.45,0.36,0.56,0.4,-0.082,0.427,0.445
label594,0.52,0.52,0.52,0.52,0.52,0.04,0.526,0.533
label595,0.52,0.524,0.44,0.6,0.478,0.041,0.419,0.432
label596,0.3,0.292,0.28,0.32,0.286,-0.4,0.302,0.378
label597,0.5,0.5,0.52,0.48,0.51,0,0.498,0.463
label598,0.44,0.44,0.44,0.44,0.44,-0.12,0.426,0.44
label599,0.38,0.375,0.36,0.4,0.367,-0.24,0.36,0.404
label600,0.32,0.333,0.36,0.28,0.346,-0.361,0.274,0.374
label601,0.56,0.556,0.6,0.52,0.577,0.12,0.555,0.603
label602,0.44,0.429,0.36,0.52,0.391,-0.122,0.371,0.419
label603,0.56,0.552,0.64,0.48,0.593,0.122,0.616,0.537
label604,0.52,0.52,0.52,0.52,0.52,0.04,0.563,0.587
label605,0.48,0.48,0.48,0.48,0.48,-0.04,0.438,0.447
label606,0.62,0.615,0.64,0.6,0.627,0.24,0.597,0.549
label607,0.44,0.44,0.44,0.44,0.44,-0.12,0.374,0.409
label608,0.54,0.542,0.52,0.56,0.531,0.08,0.562,0.504
label609,0.68,0.696,0.64,0.72,0.667,0.361,0.629,0.633
label610,0.5,0.5,0.56,0.44,0.528,0,0.565,0.534
