label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label937,0.02,0,0,0.04,0,-0.961,0.002,0.307
label938,0.4,0.222,0.08,0.72,0.118,-0.26,0.24,0.395
label939,0.26,0.3,0.36,0.16,0.327,-0.49,0.21,0.348
label940,0.6,0.667,0.4,0.8,0.5,0.218,0.518,0.585
label941,0.48,0.488,0.84,0.12,0.618,-0.058,0.243,0.355
label942,0.34,0.357,0.4,0.28,0.377,-0.322,0.445,0.487
label943,0.32,0.091,0.04,0.6,0.056,-0.435,0.034,0.31
label944,0.1,0.143,0.16,0.04,0.151,-0.806,0.032,0.313
label945,0.04,0,0,0.08,0,-0.923,0,0.307
label946,0.16,0.13,0.12,0.2,0.125,-0.682,0.112,0.323
label947,0.18,0.056,0.04,0.32,0.047,-0.667,0.04,0.346
label948,0,0,0,0,0,-1,0,0.307
label949,0.54,0.562,0.36,0.72,0.439,0.086,0.334,0.419
label950,0.36,0.316,0.24,0.48,0.273,-0.288,0.226,0.367
label951,0.56,0.714,0.2,0.92,0.312,0.173,0.534,0.583
label952,0.26,0.2,0.16,0.36,0.178,-0.49,0.139,0.35
label953,0.4,0.273,0.12,0.68,0.167,-0.241,0.258,0.44
label954,0.08,0.111,0.12,0.04,0.115,-0.843,0.04,0.314
label955,0.36,0.111,0.04,0.68,0.059,-0.364,0.058,0.313
label956,0.56,0.6,0.36,0.76,0.45,0.131,0.574,0.605
label957,0.44,0.435,0.4,0.48,0.417,-0.12,0.366,0.403
label958,0.54,0.571,0.32,0.76,0.41,0.089,0.336,0.422
label959,0.62,0.714,0.4,0.84,0.513,0.267,0.533,0.553
label960,0.5,0.5,0.64,0.36,0.561,0,0.344,0.422
label961,0.54,0.525,0.84,0.24,0.646,0.1,0.307,0.375
label962,0.48,0.488,0.8,0.16,0.606,-0.052,0.507,0.487
label963,0.52,0.529,0.36,0.68,0.429,0.042,0.325,0.416
label964,0.6,0.576,0.76,0.44,0.655,0.211,0.576,0.61
label965,0.48,0.489,0.88,0.08,0.629,-0.067,0.262,0.361
label966,0.6,0.571,0.8,0.4,0.667,0.218,0.435,0.422
label967,0.46,0.472,0.68,0.24,0.557,-0.089,0.272,0.4
label968,0.62,0.688,0.44,0.8,0.537,0.257,0.491,0.599
label969,0.48,0.471,0.32,0.64,0.381,-0.042,0.445,0.504
label970,0.54,0.536,0.6,0.48,0.566,0.081,0.424,0.54
label971,0,0,0,0,0,-1,0,0.307
label972,0.58,0.543,1,0.16,0.704,0.295,0.29,0.37
label973,0.54,0.556,0.4,0.68,0.465,0.083,0.382,0.489
label974,0.56,0.543,0.76,0.36,0.633,0.131,0.326,0.388
label975,0.12,0.048,0.04,0.2,0.043,-0.77,0.102,0.358
label976,0.16,0.095,0.08,0.24,0.087,-0.689,0.077,0.318
label977,0.4,0.407,0.44,0.36,0.423,-0.201,0.406,0.463
label978,0.38,0.393,0.44,0.32,0.415,-0.242,0.344,0.42
label979,0.46,0.477,0.84,0.08,0.609,-0.123,0.243,0.355
label980,0.62,0.588,0.8,0.44,0.678,0.257,0.47,0.446
label981,0.14,0,0,0.28,0,-0.75,0.005,0.307
label982,0.34,0.333,0.32,0.36,0.327,-0.32,0.301,0.377
label983,0.5,0.5,0.76,0.24,0.603,0,0.413,0.44
