name,score,pred_label
RP11-506M12.1,1.0,1
RP11-727A23.5,1.0,1
RP11-308D16.4,0.9999999925215307,1
RP11-248G5.8,1.0,1
RP11-872D17.4,0.9999986590891224,1
MT-RNR2,1.0,1
AC005329.7,1.0,1
7SK,1.0,1
RP11-81H3.2,1.0,1
RP4-537K23.4,1.0,1
RP11-75N4.2,0.9999999999998899,1
AC009133.20,1.0,1
RP11-18I14.10,1.0,1
RP11-319G6.1,0.9999999999993328,1
AC018766.6,0.9619004497589067,1
AC008440.5,3.0445880115585533e-06,0
AC006547.13,0.9999999999965281,1
AC002117.1,0.9999999970762046,1
RP11-380O24.1,1.0,1
AC006465.3,1.0,1
RP11-392O1.4,1.0,1
AC092168.2,1.0,1
RP11-115D19.1,1.0,1
RP11-152P17.2,1.0,1
ATP6V0E2-AS1,0.9999991665875787,1
RP11-734I18.1,0.9999999999999944,1
RSBN1L-AS1,1.0,1
GNG12-AS1,0.8461136985676815,1
RP11-124N14.3,1.0,1
NONHSAG043637,1.0,1
AC092295.7,4.993450636950895e-10,0
RP11-303E16.3,1.0,1
RP11-499F3.2,1.0,1
PXN-AS1,1.0,1
RP11-191L9.4,0.9870903980365016,1
LINC00667,1.0,1
AJ003147.9,0.99999999991055,1
RP11-120D5.1,1.0,1
CTD-2002H8.2,0.12649585985425693,0
CTD-2410N18.4,1.0,1
RP11-216L13.19,0.9999999999999967,1
TMPO-AS1,0.9999999999999998,1
CTD-3239E11.2,1.0,1
LINC00649,1.0,1
RP11-66N24.3,0.9864612092404345,1
RP11-389O22.1,1.0,1
RP11-849H4.4,0.9999999802703694,1
RP11-211G3.2,0.0001501971384870843,0
C11orf95,0.9999999999999998,1
TRA2A,0.9999998974414569,1
AC004448.5,0.030022543388924305,0
RP11-715J22.4,1.0,1
RP3-430N8.11,0.9999999999995857,1
RP11-285F7.2,1.0,1
CTD-2031P19.5,1.0,1
RP11-350F4.2,1.0,1
RP11-421F16.3,0.9999999999996714,1
RP11-618G20.1,1.0,1
AC092839.3,1.0,1
RP11-316M1.3,0.9999999996377693,1
RP11-504P24.3,1.0,1
AC007285.6,1.0,1
PRMT5-AS1,1.0,1
ZMYM4-AS1,0.9999999999304425,1
AC093818.1,0.9999999999999996,1
RP11-192H23.7,1.0,1
AC097721.2,1.0,1
RP11-381P6.1,1.0,1
RP11-21B21.4,0.9999999999999944,1
RP11-328J2.1,0.9999999999999991,1
AC097500.2,1.0,1
LINC00478,1.0,1
RP11-351M8.2,1.0,1
RP11-59H7.3,4.1348304886478444e-07,0
RP11-98I9.4,1.0,1
LINC00174,1.0,1
RP11-103J8.1,0.9999999997811198,1
RP11-463D19.1,0.9999999999999996,1
AC091153.4,6.356247149936533e-09,0
RP11-351A11.1,1.0,1
RP11-552M11.4,1.0,1
RP11-32B11.2,1.0,1
MAGI1-AS1,0.9999922885823966,1
AC092594.1,1.0,1
RP11-337C18.8,1.0,1
INTS6-AS1,1.0,1
LENG8-AS1,0.9999999999997295,1
NDST2,1.0,1
C14orf37,1.0,1
HOTAIR,1.0,1
IQCH-AS1,1.0,1
CTD-2248H3.1,1.0,1
AC004381.7,1.0,1
RP11-191G24.1,0.9999951583536502,1
RPL17,0.008467565499013023,0
RP11-894P9.1,1.0,1
CTC-498J12.3,3.32885717306173e-10,0
RP11-349A22.5,1.0,1
THAP9-AS1,2.023121756295456e-05,0
HM13-AS1,0.9999842865877926,1
RP11-584P21.2,0.9999999999999989,1
RP11-478C19.2,1.0,1
RP11-307L3.4,1.0,1
RP13-131K19.1,0.9999999980467871,1
RP5-1142A6.9,0.4672266189971243,0
ZBED3-AS1,1.0,1
AC016683.6,1.0,1
LA16c-366D1.3,1.0,1
AC073342.12,1.220745639426761e-08,0
AC021016.8,1.0,1
PMS2P9,0.999999999999895,1
LINC00854,1.0,1
PAXBP1-AS1,2.8439890187580365e-07,0
RP11-108M21.1,1.0,1
RP13-270P17.1,1.0,1
RP3-368A4.5,1.0,1
RP11-385J1.2,1.0,1
RP11-326C3.11,1.0,1
RP11-415J8.3,0.9999999999666946,1
MIR142,1.0,1
RP1-283E3.8,1.0,1
RP11-242D8.1,1.0,1
RP11-875O11.2,1.0,1
RP11-304M2.5,1.0,1
AL589743.2,0.9999817526959524,1
CTD-2616J11.9,0.9999999999999132,1
GRM7-AS3,1.0,1
RP11-613C6.2,0.04337209154830462,0
RP5-1021I20.5,1.0,1
AC073333.8,1.0,1
RP11-77H9.2,1.0,1
HPN-AS1,1.0,1
KCP,1.0,1
AC016722.4,0.9855422648444633,1
CTA-256D12.11,1.0,1
RP11-439E19.10,1.0,1
RP11-332H18.5,1.0,1
RP11-126O1.4,1.0,1
